Category: All categories

Month,ambien: (Alabama)
2004-01,0
2004-02,61
2004-03,0
2004-04,0
2004-05,57
2004-06,55
2004-07,0
2004-08,100
2004-09,49
2004-10,50
2004-11,0
2004-12,47
2005-01,40
2005-02,0
2005-03,0
2005-04,41
2005-05,38
2005-06,0
2005-07,0
2005-08,34
2005-09,0
2005-10,91
2005-11,31
2005-12,30
2006-01,78
2006-02,27
2006-03,24
2006-04,50
2006-05,48
2006-06,25
2006-07,48
2006-08,22
2006-09,43
2006-10,40
2006-11,20
2006-12,20
2007-01,17
2007-02,35
2007-03,33
2007-04,48
2007-05,15
2007-06,16
2007-07,30
2007-08,28
2007-09,15
2007-10,0
2007-11,69
2007-12,44
2008-01,50
2008-02,52
2008-03,64
2008-04,36
2008-05,63
2008-06,53
2008-07,37
2008-08,25
2008-09,34
2008-10,85
2008-11,12
2008-12,34
2009-01,0
2009-02,11
2009-03,31
2009-04,31
2009-05,43
2009-06,45
2009-07,33
2009-08,72
2009-09,39
2009-10,57
2009-11,40
2009-12,39
2010-01,56
2010-02,38
2010-03,9
2010-04,37
2010-05,30
2010-06,32
2010-07,50
2010-08,46
2010-09,27
2010-10,18
2010-11,53
2010-12,45
2011-01,56
2011-02,49
2011-03,45
2011-04,43
2011-05,39
2011-06,15
2011-07,5
2011-08,39
2011-09,26
2011-10,43
2011-11,30
2011-12,34
2012-01,34
2012-02,46
2012-03,16
2012-04,16
2012-05,24
2012-06,25
2012-07,51
2012-08,51
2012-09,53
2012-10,41
2012-11,24
2012-12,18
2013-01,23
2013-02,21
2013-03,40
2013-04,26
2013-05,36
2013-06,31
2013-07,38
2013-08,45
2013-09,40
2013-10,21
2013-11,28
2013-12,38
2014-01,30
2014-02,29
2014-03,29
2014-04,16
2014-05,36
2014-06,21
2014-07,28
2014-08,30
2014-09,33
2014-10,12
2014-11,24
2014-12,20
2015-01,10
2015-02,35
2015-03,33
2015-04,35
2015-05,18
2015-06,27
2015-07,34
2015-08,16
2015-09,30
2015-10,38
2015-11,15
2015-12,15
2016-01,30
2016-02,20
2016-03,30
2016-04,20
2016-05,29
2016-06,29
2016-07,21
2016-08,28
2016-09,27
2016-10,21
2016-11,24
2016-12,21
2017-01,17
2017-02,13
2017-03,31
2017-04,31
2017-05,22
2017-06,26
2017-07,21
2017-08,22
2017-09,24
2017-10,15
2017-11,22
2017-12,22
2018-01,29
2018-02,20
2018-03,25
2018-04,13
2018-05,50
2018-06,14
2018-07,34
2018-08,36
2018-09,18
2018-10,29
2018-11,19
2018-12,28
2019-01,19
2019-02,29
2019-03,28
2019-04,18
2019-05,25
2019-06,26
2019-07,13
2019-08,13
2019-09,19
2019-10,16
2019-11,14
2019-12,15
2020-01,21
2020-02,18
2020-03,18
2020-04,18
2020-05,16
2020-06,16
2020-07,12
2020-08,12
2020-09,21
2020-10,13
2020-11,15
2020-12,19
2021-01,21
2021-02,16
2021-03,12
2021-04,13
2021-05,10
