Category: All categories

Month,sonata: (Alabama)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,35
2004-08,31
2004-09,61
2004-10,0
2004-11,0
2004-12,58
2005-01,100
2005-02,78
2005-03,23
2005-04,26
2005-05,0
2005-06,0
2005-07,46
2005-08,21
2005-09,0
2005-10,0
2005-11,19
2005-12,0
2006-01,16
2006-02,17
2006-03,0
2006-04,0
2006-05,30
2006-06,0
2006-07,15
2006-08,0
2006-09,27
2006-10,25
2006-11,0
2006-12,13
2007-01,0
2007-02,22
2007-03,10
2007-04,20
2007-05,10
2007-06,10
2007-07,38
2007-08,35
2007-09,9
2007-10,34
2007-11,17
2007-12,0
2008-01,0
2008-02,16
2008-03,32
2008-04,8
2008-05,32
2008-06,8
2008-07,16
2008-08,15
2008-09,0
2008-10,20
2008-11,29
2008-12,7
2009-01,7
2009-02,7
2009-03,13
2009-04,26
2009-05,20
2009-06,35
2009-07,14
2009-08,6
2009-09,37
2009-10,18
2009-11,44
2009-12,6
2010-01,23
2010-02,18
2010-03,33
2010-04,58
2010-05,0
2010-06,40
2010-07,50
2010-08,23
2010-09,33
2010-10,67
2010-11,44
2010-12,40
2011-01,44
2011-02,89
2011-03,57
2011-04,50
2011-05,64
2011-06,53
2011-07,45
2011-08,38
2011-09,30
2011-10,27
2011-11,30
2011-12,35
2012-01,24
2012-02,19
2012-03,32
2012-04,33
2012-05,32
2012-06,31
2012-07,34
2012-08,30
2012-09,24
2012-10,17
2012-11,30
2012-12,22
2013-01,24
2013-02,48
2013-03,25
2013-04,28
2013-05,55
2013-06,37
2013-07,33
2013-08,16
2013-09,39
2013-10,36
2013-11,46
2013-12,25
2014-01,40
2014-02,22
2014-03,46
2014-04,37
2014-05,49
2014-06,26
2014-07,43
2014-08,30
2014-09,43
2014-10,39
2014-11,30
2014-12,38
2015-01,30
2015-02,28
2015-03,48
2015-04,48
2015-05,49
2015-06,31
2015-07,57
2015-08,38
2015-09,42
2015-10,59
2015-11,53
2015-12,45
2016-01,28
2016-02,35
2016-03,49
2016-04,24
2016-05,41
2016-06,39
2016-07,39
2016-08,43
2016-09,37
2016-10,36
2016-11,35
2016-12,32
2017-01,24
2017-02,50
2017-03,55
2017-04,58
2017-05,48
2017-06,40
2017-07,47
2017-08,51
2017-09,46
2017-10,38
2017-11,36
2017-12,38
2018-01,40
2018-02,50
2018-03,49
2018-04,47
2018-05,43
2018-06,39
2018-07,44
2018-08,38
2018-09,41
2018-10,43
2018-11,41
2018-12,29
2019-01,40
2019-02,48
2019-03,42
2019-04,48
2019-05,44
2019-06,50
2019-07,40
2019-08,47
2019-09,38
2019-10,45
2019-11,45
2019-12,21
2020-01,40
2020-02,65
2020-03,44
2020-04,45
2020-05,43
2020-06,41
2020-07,53
2020-08,41
2020-09,28
2020-10,39
2020-11,38
2020-12,46
2021-01,47
2021-02,40
2021-03,44
2021-04,53
2021-05,61
