Category: All categories

Month,ambien: (Florida)
2004-01,22
2004-02,43
2004-03,83
2004-04,21
2004-05,57
2004-06,18
2004-07,88
2004-08,47
2004-09,94
2004-10,77
2004-11,16
2004-12,29
2005-01,50
2005-02,52
2005-03,66
2005-04,37
2005-05,44
2005-06,22
2005-07,21
2005-08,59
2005-09,37
2005-10,74
2005-11,100
2005-12,85
2006-01,52
2006-02,77
2006-03,69
2006-04,69
2006-05,61
2006-06,56
2006-07,26
2006-08,42
2006-09,54
2006-10,68
2006-11,23
2006-12,50
2007-01,35
2007-02,57
2007-03,47
2007-04,37
2007-05,56
2007-06,41
2007-07,43
2007-08,45
2007-09,41
2007-10,42
2007-11,47
2007-12,52
2008-01,46
2008-02,40
2008-03,45
2008-04,45
2008-05,56
2008-06,47
2008-07,55
2008-08,58
2008-09,30
2008-10,51
2008-11,58
2008-12,60
2009-01,47
2009-02,56
2009-03,30
2009-04,24
2009-05,54
2009-06,34
2009-07,42
2009-08,23
2009-09,52
2009-10,50
2009-11,43
2009-12,68
2010-01,50
2010-02,38
2010-03,45
2010-04,53
2010-05,59
2010-06,49
2010-07,46
2010-08,35
2010-09,61
2010-10,46
2010-11,53
2010-12,52
2011-01,51
2011-02,42
2011-03,50
2011-04,45
2011-05,42
2011-06,51
2011-07,42
2011-08,52
2011-09,49
2011-10,37
2011-11,42
2011-12,40
2012-01,30
2012-02,48
2012-03,58
2012-04,50
2012-05,36
2012-06,46
2012-07,44
2012-08,51
2012-09,47
2012-10,53
2012-11,39
2012-12,37
2013-01,45
2013-02,38
2013-03,51
2013-04,34
2013-05,35
2013-06,37
2013-07,41
2013-08,34
2013-09,40
2013-10,42
2013-11,36
2013-12,31
2014-01,32
2014-02,35
2014-03,44
2014-04,42
2014-05,53
2014-06,39
2014-07,44
2014-08,33
2014-09,39
2014-10,35
2014-11,32
2014-12,22
2015-01,29
2015-02,31
2015-03,40
2015-04,35
2015-05,27
2015-06,33
2015-07,42
2015-08,44
2015-09,33
2015-10,32
2015-11,33
2015-12,33
2016-01,35
2016-02,26
2016-03,27
2016-04,38
2016-05,43
2016-06,34
2016-07,31
2016-08,35
2016-09,25
2016-10,29
2016-11,33
2016-12,25
2017-01,32
2017-02,33
2017-03,36
2017-04,24
2017-05,35
2017-06,43
2017-07,29
2017-08,28
2017-09,28
2017-10,27
2017-11,31
2017-12,29
2018-01,23
2018-02,24
2018-03,38
2018-04,31
2018-05,50
2018-06,46
2018-07,35
2018-08,33
2018-09,22
2018-10,31
2018-11,28
2018-12,23
2019-01,28
2019-02,33
2019-03,32
2019-04,25
2019-05,28
2019-06,27
2019-07,29
2019-08,20
2019-09,28
2019-10,27
2019-11,23
2019-12,21
2020-01,26
2020-02,27
2020-03,19
2020-04,22
2020-05,23
2020-06,19
2020-07,18
2020-08,22
2020-09,27
2020-10,27
2020-11,20
2020-12,20
2021-01,23
2021-02,19
2021-03,29
2021-04,30
2021-05,28
