Category: All categories

Month,sonata: (Florida)
2004-01,28
2004-02,28
2004-03,70
2004-04,65
2004-05,12
2004-06,58
2004-07,22
2004-08,40
2004-09,20
2004-10,10
2004-11,20
2004-12,18
2005-01,63
2005-02,98
2005-03,41
2005-04,54
2005-05,41
2005-06,21
2005-07,20
2005-08,25
2005-09,35
2005-10,70
2005-11,58
2005-12,22
2006-01,61
2006-02,53
2006-03,39
2006-04,39
2006-05,43
2006-06,31
2006-07,54
2006-08,42
2006-09,38
2006-10,25
2006-11,43
2006-12,57
2007-01,19
2007-02,23
2007-03,15
2007-04,53
2007-05,27
2007-06,34
2007-07,55
2007-08,36
2007-09,59
2007-10,43
2007-11,54
2007-12,33
2008-01,40
2008-02,53
2008-03,35
2008-04,29
2008-05,40
2008-06,44
2008-07,42
2008-08,34
2008-09,34
2008-10,42
2008-11,48
2008-12,55
2009-01,39
2009-02,21
2009-03,30
2009-04,33
2009-05,38
2009-06,31
2009-07,43
2009-08,35
2009-09,48
2009-10,42
2009-11,27
2009-12,36
2010-01,61
2010-02,79
2010-03,86
2010-04,78
2010-05,85
2010-06,50
2010-07,78
2010-08,46
2010-09,53
2010-10,54
2010-11,59
2010-12,56
2011-01,100
2011-02,72
2011-03,74
2011-04,78
2011-05,93
2011-06,59
2011-07,68
2011-08,64
2011-09,64
2011-10,71
2011-11,65
2011-12,54
2012-01,64
2012-02,75
2012-03,60
2012-04,74
2012-05,67
2012-06,56
2012-07,62
2012-08,57
2012-09,63
2012-10,62
2012-11,55
2012-12,51
2013-01,69
2013-02,63
2013-03,64
2013-04,55
2013-05,59
2013-06,55
2013-07,64
2013-08,55
2013-09,62
2013-10,66
2013-11,60
2013-12,64
2014-01,60
2014-02,66
2014-03,67
2014-04,81
2014-05,62
2014-06,72
2014-07,75
2014-08,84
2014-09,67
2014-10,70
2014-11,72
2014-12,62
2015-01,66
2015-02,71
2015-03,72
2015-04,84
2015-05,78
2015-06,73
2015-07,70
2015-08,84
2015-09,82
2015-10,65
2015-11,70
2015-12,64
2016-01,76
2016-02,82
2016-03,88
2016-04,78
2016-05,74
2016-06,80
2016-07,78
2016-08,77
2016-09,72
2016-10,86
2016-11,77
2016-12,73
2017-01,76
2017-02,87
2017-03,74
2017-04,90
2017-05,79
2017-06,86
2017-07,92
2017-08,87
2017-09,70
2017-10,81
2017-11,76
2017-12,90
2018-01,64
2018-02,73
2018-03,78
2018-04,79
2018-05,76
2018-06,76
2018-07,75
2018-08,79
2018-09,74
2018-10,84
2018-11,72
2018-12,70
2019-01,75
2019-02,69
2019-03,80
2019-04,77
2019-05,73
2019-06,85
2019-07,81
2019-08,73
2019-09,76
2019-10,77
2019-11,69
2019-12,76
2020-01,78
2020-02,94
2020-03,64
2020-04,62
2020-05,74
2020-06,77
2020-07,81
2020-08,88
2020-09,73
2020-10,73
2020-11,72
2020-12,70
2021-01,66
2021-02,71
2021-03,83
2021-04,84
2021-05,69
