Category: All categories

Month,sonata: (Georgia)
2004-01,0
2004-02,35
2004-03,0
2004-04,53
2004-05,64
2004-06,96
2004-07,17
2004-08,44
2004-09,0
2004-10,59
2004-11,0
2004-12,14
2005-01,72
2005-02,49
2005-03,31
2005-04,48
2005-05,21
2005-06,22
2005-07,32
2005-08,19
2005-09,46
2005-10,9
2005-11,27
2005-12,26
2006-01,82
2006-02,39
2006-03,35
2006-04,52
2006-05,34
2006-06,14
2006-07,46
2006-08,36
2006-09,0
2006-10,28
2006-11,34
2006-12,23
2007-01,41
2007-02,37
2007-03,24
2007-04,39
2007-05,45
2007-06,28
2007-07,31
2007-08,16
2007-09,46
2007-10,34
2007-11,31
2007-12,32
2008-01,28
2008-02,36
2008-03,35
2008-04,28
2008-05,25
2008-06,41
2008-07,28
2008-08,34
2008-09,33
2008-10,27
2008-11,30
2008-12,32
2009-01,43
2009-02,36
2009-03,50
2009-04,28
2009-05,50
2009-06,29
2009-07,35
2009-08,34
2009-09,67
2009-10,41
2009-11,49
2009-12,39
2010-01,42
2010-02,65
2010-03,89
2010-04,96
2010-05,82
2010-06,70
2010-07,67
2010-08,45
2010-09,51
2010-10,54
2010-11,65
2010-12,55
2011-01,82
2011-02,56
2011-03,100
2011-04,65
2011-05,64
2011-06,66
2011-07,61
2011-08,75
2011-09,48
2011-10,63
2011-11,71
2011-12,55
2012-01,56
2012-02,62
2012-03,66
2012-04,45
2012-05,75
2012-06,55
2012-07,50
2012-08,49
2012-09,39
2012-10,45
2012-11,52
2012-12,43
2013-01,41
2013-02,47
2013-03,55
2013-04,47
2013-05,53
2013-06,52
2013-07,54
2013-08,48
2013-09,51
2013-10,52
2013-11,39
2013-12,49
2014-01,58
2014-02,44
2014-03,53
2014-04,55
2014-05,62
2014-06,67
2014-07,51
2014-08,68
2014-09,59
2014-10,48
2014-11,56
2014-12,61
2015-01,60
2015-02,57
2015-03,55
2015-04,55
2015-05,80
2015-06,58
2015-07,70
2015-08,64
2015-09,59
2015-10,65
2015-11,77
2015-12,57
2016-01,61
2016-02,74
2016-03,71
2016-04,73
2016-05,85
2016-06,66
2016-07,70
2016-08,66
2016-09,83
2016-10,62
2016-11,69
2016-12,64
2017-01,78
2017-02,76
2017-03,77
2017-04,80
2017-05,76
2017-06,72
2017-07,73
2017-08,68
2017-09,72
2017-10,80
2017-11,73
2017-12,66
2018-01,72
2018-02,80
2018-03,75
2018-04,60
2018-05,69
2018-06,73
2018-07,70
2018-08,91
2018-09,60
2018-10,66
2018-11,72
2018-12,72
2019-01,57
2019-02,59
2019-03,73
2019-04,58
2019-05,73
2019-06,70
2019-07,69
2019-08,66
2019-09,76
2019-10,74
2019-11,80
2019-12,81
2020-01,70
2020-02,75
2020-03,68
2020-04,56
2020-05,72
2020-06,65
2020-07,66
2020-08,80
2020-09,65
2020-10,71
2020-11,58
2020-12,64
2021-01,57
2021-02,69
2021-03,74
2021-04,96
2021-05,74
