Category: All categories

Month,ambien: (Kentucky)
2004-01,0
2004-02,0
2004-03,97
2004-04,76
2004-05,73
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,68
2005-01,0
2005-02,0
2005-03,51
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,43
2005-11,43
2005-12,88
2006-01,38
2006-02,0
2006-03,100
2006-04,0
2006-05,30
2006-06,0
2006-07,62
2006-08,37
2006-09,35
2006-10,32
2006-11,31
2006-12,16
2007-01,41
2007-02,28
2007-03,39
2007-04,52
2007-05,25
2007-06,13
2007-07,37
2007-08,11
2007-09,43
2007-10,0
2007-11,10
2007-12,20
2008-01,26
2008-02,38
2008-03,37
2008-04,13
2008-05,13
2008-06,0
2008-07,27
2008-08,51
2008-09,37
2008-10,11
2008-11,35
2008-12,46
2009-01,33
2009-02,34
2009-03,51
2009-04,10
2009-05,11
2009-06,23
2009-07,22
2009-08,52
2009-09,47
2009-10,9
2009-11,37
2009-12,27
2010-01,26
2010-02,26
2010-03,17
2010-04,26
2010-05,55
2010-06,41
2010-07,46
2010-08,17
2010-09,33
2010-10,41
2010-11,32
2010-12,48
2011-01,24
2011-02,26
2011-03,28
2011-04,25
2011-05,20
2011-06,43
2011-07,21
2011-08,23
2011-09,9
2011-10,35
2011-11,32
2011-12,36
2012-01,37
2012-02,24
2012-03,31
2012-04,38
2012-05,17
2012-06,23
2012-07,47
2012-08,19
2012-09,38
2012-10,21
2012-11,32
2012-12,28
2013-01,23
2013-02,29
2013-03,22
2013-04,32
2013-05,29
2013-06,13
2013-07,37
2013-08,30
2013-09,13
2013-10,29
2013-11,12
2013-12,26
2014-01,21
2014-02,22
2014-03,27
2014-04,39
2014-05,15
2014-06,16
2014-07,23
2014-08,27
2014-09,18
2014-10,33
2014-11,18
2014-12,17
2015-01,20
2015-02,23
2015-03,23
2015-04,34
2015-05,31
2015-06,24
2015-07,25
2015-08,17
2015-09,27
2015-10,16
2015-11,10
2015-12,13
2016-01,11
2016-02,27
2016-03,20
2016-04,23
2016-05,28
2016-06,20
2016-07,12
2016-08,25
2016-09,14
2016-10,16
2016-11,23
2016-12,17
2017-01,20
2017-02,10
2017-03,6
2017-04,10
2017-05,23
2017-06,13
2017-07,17
2017-08,26
2017-09,20
2017-10,8
2017-11,17
2017-12,16
2018-01,18
2018-02,17
2018-03,19
2018-04,19
2018-05,31
2018-06,26
2018-07,17
2018-08,17
2018-09,31
2018-10,21
2018-11,13
2018-12,17
2019-01,11
2019-02,19
2019-03,23
2019-04,13
2019-05,13
2019-06,20
2019-07,23
2019-08,14
2019-09,14
2019-10,20
2019-11,10
2019-12,13
2020-01,21
2020-02,9
2020-03,12
2020-04,11
2020-05,11
2020-06,21
2020-07,14
2020-08,8
2020-09,13
2020-10,7
2020-11,13
2020-12,15
2021-01,15
2021-02,22
2021-03,13
2021-04,14
2021-05,8
