Category: All categories

Month,sonata: (Kentucky)
2004-01,35
2004-02,0
2004-03,0
2004-04,100
2004-05,64
2004-06,36
2004-07,0
2004-08,65
2004-09,0
2004-10,32
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,67
2005-04,51
2005-05,0
2005-06,0
2005-07,25
2005-08,0
2005-09,39
2005-10,0
2005-11,38
2005-12,0
2006-01,17
2006-02,0
2006-03,44
2006-04,16
2006-05,13
2006-06,10
2006-07,9
2006-08,8
2006-09,0
2006-10,7
2006-11,21
2006-12,14
2007-01,30
2007-02,25
2007-03,11
2007-04,17
2007-05,22
2007-06,23
2007-07,0
2007-08,20
2007-09,24
2007-10,4
2007-11,17
2007-12,17
2008-01,15
2008-02,17
2008-03,16
2008-04,17
2008-05,11
2008-06,13
2008-07,18
2008-08,6
2008-09,16
2008-10,10
2008-11,31
2008-12,25
2009-01,34
2009-02,20
2009-03,5
2009-04,18
2009-05,19
2009-06,15
2009-07,19
2009-08,27
2009-09,12
2009-10,24
2009-11,24
2009-12,8
2010-01,15
2010-02,38
2010-03,18
2010-04,35
2010-05,24
2010-06,9
2010-07,24
2010-08,15
2010-09,7
2010-10,11
2010-11,24
2010-12,28
2011-01,17
2011-02,16
2011-03,27
2011-04,31
2011-05,41
2011-06,28
2011-07,20
2011-08,16
2011-09,24
2011-10,23
2011-11,11
2011-12,21
2012-01,13
2012-02,22
2012-03,29
2012-04,35
2012-05,29
2012-06,33
2012-07,27
2012-08,17
2012-09,25
2012-10,18
2012-11,27
2012-12,25
2013-01,26
2013-02,30
2013-03,12
2013-04,24
2013-05,13
2013-06,17
2013-07,24
2013-08,15
2013-09,25
2013-10,24
2013-11,23
2013-12,11
2014-01,26
2014-02,11
2014-03,16
2014-04,20
2014-05,20
2014-06,17
2014-07,13
2014-08,31
2014-09,20
2014-10,20
2014-11,30
2014-12,18
2015-01,24
2015-02,24
2015-03,15
2015-04,20
2015-05,23
2015-06,18
2015-07,20
2015-08,30
2015-09,34
2015-10,28
2015-11,30
2015-12,27
2016-01,25
2016-02,29
2016-03,27
2016-04,15
2016-05,27
2016-06,23
2016-07,30
2016-08,23
2016-09,31
2016-10,25
2016-11,16
2016-12,28
2017-01,24
2017-02,29
2017-03,27
2017-04,24
2017-05,29
2017-06,13
2017-07,21
2017-08,24
2017-09,20
2017-10,16
2017-11,27
2017-12,22
2018-01,27
2018-02,24
2018-03,29
2018-04,27
2018-05,30
2018-06,25
2018-07,29
2018-08,23
2018-09,26
2018-10,37
2018-11,25
2018-12,22
2019-01,23
2019-02,28
2019-03,25
2019-04,36
2019-05,25
2019-06,17
2019-07,27
2019-08,26
2019-09,23
2019-10,27
2019-11,21
2019-12,24
2020-01,14
2020-02,32
2020-03,22
2020-04,25
2020-05,23
2020-06,32
2020-07,25
2020-08,22
2020-09,16
2020-10,28
2020-11,21
2020-12,24
2021-01,19
2021-02,20
2021-03,32
2021-04,26
2021-05,31
