Category: All categories

Month,ambien: (Mississippi)
2004-01,0
2004-02,60
2004-03,0
2004-04,62
2004-05,0
2004-06,60
2004-07,62
2004-08,0
2004-09,0
2004-10,48
2004-11,0
2004-12,100
2005-01,42
2005-02,0
2005-03,38
2005-04,42
2005-05,40
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,32
2005-11,62
2005-12,0
2006-01,0
2006-02,0
2006-03,24
2006-04,0
2006-05,24
2006-06,0
2006-07,25
2006-08,0
2006-09,0
2006-10,19
2006-11,27
2006-12,14
2007-01,35
2007-02,12
2007-03,0
2007-04,35
2007-05,0
2007-06,36
2007-07,0
2007-08,0
2007-09,10
2007-10,19
2007-11,31
2007-12,11
2008-01,30
2008-02,10
2008-03,10
2008-04,9
2008-05,19
2008-06,10
2008-07,0
2008-08,0
2008-09,9
2008-10,16
2008-11,9
2008-12,9
2009-01,33
2009-02,17
2009-03,24
2009-04,16
2009-05,0
2009-06,0
2009-07,16
2009-08,0
2009-09,8
2009-10,7
2009-11,8
2009-12,0
2010-01,0
2010-02,8
2010-03,0
2010-04,7
2010-05,32
2010-06,17
2010-07,14
2010-08,27
2010-09,14
2010-10,7
2010-11,19
2010-12,19
2011-01,16
2011-02,8
2011-03,23
2011-04,16
2011-05,12
2011-06,12
2011-07,8
2011-08,7
2011-09,14
2011-10,10
2011-11,17
2011-12,16
2012-01,26
2012-02,12
2012-03,24
2012-04,27
2012-05,9
2012-06,8
2012-07,20
2012-08,17
2012-09,11
2012-10,13
2012-11,8
2012-12,16
2013-01,15
2013-02,10
2013-03,17
2013-04,17
2013-05,25
2013-06,18
2013-07,20
2013-08,5
2013-09,9
2013-10,13
2013-11,14
2013-12,7
2014-01,8
2014-02,13
2014-03,10
2014-04,14
2014-05,9
2014-06,12
2014-07,10
2014-08,10
2014-09,7
2014-10,5
2014-11,18
2014-12,10
2015-01,14
2015-02,15
2015-03,27
2015-04,16
2015-05,11
2015-06,7
2015-07,13
2015-08,15
2015-09,15
2015-10,7
2015-11,7
2015-12,7
2016-01,5
2016-02,14
2016-03,9
2016-04,20
2016-05,15
2016-06,7
2016-07,7
2016-08,7
2016-09,9
2016-10,12
2016-11,8
2016-12,10
2017-01,15
2017-02,7
2017-03,8
2017-04,9
2017-05,7
2017-06,12
2017-07,12
2017-08,13
2017-09,13
2017-10,8
2017-11,4
2017-12,6
2018-01,8
2018-02,5
2018-03,10
2018-04,5
2018-05,14
2018-06,19
2018-07,11
2018-08,8
2018-09,5
2018-10,3
2018-11,11
2018-12,7
2019-01,13
2019-02,10
2019-03,8
2019-04,6
2019-05,7
2019-06,12
2019-07,13
2019-08,7
2019-09,9
2019-10,3
2019-11,7
2019-12,6
2020-01,7
2020-02,2
2020-03,9
2020-04,4
2020-05,13
2020-06,4
2020-07,8
2020-08,6
2020-09,10
2020-10,8
2020-11,5
2020-12,7
2021-01,9
2021-02,4
2021-03,9
2021-04,7
2021-05,6
