Category: All categories

Month,sonata: (Mississippi)
2004-01,0
2004-02,0
2004-03,99
2004-04,0
2004-05,68
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,100
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,37
2005-12,0
2006-01,31
2006-02,31
2006-03,0
2006-04,29
2006-05,0
2006-06,31
2006-07,0
2006-08,0
2006-09,0
2006-10,22
2006-11,16
2006-12,48
2007-01,28
2007-02,15
2007-03,14
2007-04,55
2007-05,26
2007-06,28
2007-07,27
2007-08,24
2007-09,12
2007-10,34
2007-11,25
2007-12,67
2008-01,0
2008-02,0
2008-03,12
2008-04,0
2008-05,23
2008-06,0
2008-07,11
2008-08,11
2008-09,0
2008-10,48
2008-11,11
2008-12,0
2009-01,19
2009-02,10
2009-03,19
2009-04,0
2009-05,0
2009-06,10
2009-07,0
2009-08,9
2009-09,18
2009-10,9
2009-11,9
2009-12,9
2010-01,0
2010-02,18
2010-03,8
2010-04,43
2010-05,28
2010-06,50
2010-07,34
2010-08,8
2010-09,48
2010-10,31
2010-11,23
2010-12,0
2011-01,37
2011-02,49
2011-03,22
2011-04,42
2011-05,32
2011-06,28
2011-07,32
2011-08,17
2011-09,21
2011-10,24
2011-11,8
2011-12,15
2012-01,14
2012-02,14
2012-03,25
2012-04,25
2012-05,25
2012-06,17
2012-07,21
2012-08,13
2012-09,10
2012-10,22
2012-11,15
2012-12,12
2013-01,29
2013-02,28
2013-03,23
2013-04,14
2013-05,15
2013-06,37
2013-07,13
2013-08,18
2013-09,25
2013-10,18
2013-11,25
2013-12,17
2014-01,18
2014-02,22
2014-03,22
2014-04,16
2014-05,34
2014-06,36
2014-07,21
2014-08,30
2014-09,14
2014-10,20
2014-11,15
2014-12,14
2015-01,25
2015-02,29
2015-03,28
2015-04,37
2015-05,33
2015-06,29
2015-07,19
2015-08,30
2015-09,31
2015-10,28
2015-11,22
2015-12,11
2016-01,19
2016-02,32
2016-03,29
2016-04,39
2016-05,37
2016-06,26
2016-07,32
2016-08,29
2016-09,24
2016-10,27
2016-11,27
2016-12,23
2017-01,34
2017-02,49
2017-03,32
2017-04,34
2017-05,33
2017-06,22
2017-07,33
2017-08,33
2017-09,25
2017-10,35
2017-11,24
2017-12,21
2018-01,35
2018-02,16
2018-03,23
2018-04,24
2018-05,31
2018-06,32
2018-07,44
2018-08,35
2018-09,34
2018-10,43
2018-11,30
2018-12,21
2019-01,43
2019-02,29
2019-03,36
2019-04,28
2019-05,33
2019-06,24
2019-07,33
2019-08,25
2019-09,39
2019-10,28
2019-11,43
2019-12,38
2020-01,44
2020-02,38
2020-03,30
2020-04,22
2020-05,24
2020-06,38
2020-07,34
2020-08,40
2020-09,25
2020-10,28
2020-11,21
2020-12,31
2021-01,33
2021-02,30
2021-03,40
2021-04,36
2021-05,30
