Category: All categories

Month,ambien: (Missouri)
2004-01,0
2004-02,32
2004-03,41
2004-04,0
2004-05,29
2004-06,30
2004-07,31
2004-08,0
2004-09,100
2004-10,26
2004-11,27
2004-12,23
2005-01,41
2005-02,43
2005-03,19
2005-04,21
2005-05,38
2005-06,19
2005-07,0
2005-08,53
2005-09,33
2005-10,31
2005-11,93
2005-12,0
2006-01,65
2006-02,0
2006-03,36
2006-04,25
2006-05,25
2006-06,0
2006-07,25
2006-08,78
2006-09,33
2006-10,21
2006-11,10
2006-12,32
2007-01,18
2007-02,19
2007-03,18
2007-04,18
2007-05,33
2007-06,0
2007-07,32
2007-08,15
2007-09,15
2007-10,13
2007-11,26
2007-12,7
2008-01,24
2008-02,30
2008-03,36
2008-04,23
2008-05,18
2008-06,25
2008-07,30
2008-08,35
2008-09,55
2008-10,35
2008-11,45
2008-12,27
2009-01,52
2009-02,38
2009-03,30
2009-04,55
2009-05,10
2009-06,53
2009-07,52
2009-08,25
2009-09,5
2009-10,50
2009-11,19
2009-12,28
2010-01,35
2010-02,9
2010-03,17
2010-04,13
2010-05,32
2010-06,19
2010-07,50
2010-08,17
2010-09,21
2010-10,42
2010-11,16
2010-12,8
2011-01,27
2011-02,21
2011-03,43
2011-04,10
2011-05,31
2011-06,32
2011-07,31
2011-08,45
2011-09,35
2011-10,25
2011-11,27
2011-12,27
2012-01,35
2012-02,30
2012-03,19
2012-04,31
2012-05,33
2012-06,43
2012-07,31
2012-08,29
2012-09,28
2012-10,24
2012-11,32
2012-12,30
2013-01,46
2013-02,22
2013-03,34
2013-04,36
2013-05,24
2013-06,31
2013-07,38
2013-08,25
2013-09,26
2013-10,21
2013-11,31
2013-12,23
2014-01,30
2014-02,25
2014-03,29
2014-04,19
2014-05,14
2014-06,10
2014-07,25
2014-08,14
2014-09,26
2014-10,20
2014-11,20
2014-12,15
2015-01,32
2015-02,15
2015-03,30
2015-04,11
2015-05,25
2015-06,42
2015-07,25
2015-08,17
2015-09,32
2015-10,22
2015-11,19
2015-12,34
2016-01,22
2016-02,19
2016-03,34
2016-04,31
2016-05,38
2016-06,26
2016-07,28
2016-08,24
2016-09,25
2016-10,24
2016-11,17
2016-12,29
2017-01,13
2017-02,22
2017-03,30
2017-04,25
2017-05,17
2017-06,23
2017-07,27
2017-08,22
2017-09,15
2017-10,16
2017-11,25
2017-12,14
2018-01,10
2018-02,16
2018-03,22
2018-04,33
2018-05,44
2018-06,26
2018-07,21
2018-08,12
2018-09,24
2018-10,18
2018-11,25
2018-12,16
2019-01,24
2019-02,15
2019-03,14
2019-04,11
2019-05,13
2019-06,13
2019-07,7
2019-08,18
2019-09,13
2019-10,22
2019-11,20
2019-12,12
2020-01,23
2020-02,14
2020-03,21
2020-04,10
2020-05,12
2020-06,13
2020-07,11
2020-08,16
2020-09,14
2020-10,15
2020-11,16
2020-12,21
2021-01,8
2021-02,15
2021-03,12
2021-04,16
2021-05,7
