Category: All categories

Month,sonata: (Missouri)
2004-01,27
2004-02,0
2004-03,0
2004-04,54
2004-05,100
2004-06,0
2004-07,26
2004-08,23
2004-09,21
2004-10,22
2004-11,45
2004-12,40
2005-01,35
2005-02,18
2005-03,16
2005-04,36
2005-05,32
2005-06,16
2005-07,95
2005-08,30
2005-09,14
2005-10,0
2005-11,26
2005-12,13
2006-01,11
2006-02,11
2006-03,20
2006-04,32
2006-05,31
2006-06,33
2006-07,32
2006-08,28
2006-09,9
2006-10,26
2006-11,9
2006-12,9
2007-01,24
2007-02,56
2007-03,30
2007-04,30
2007-05,35
2007-06,51
2007-07,48
2007-08,50
2007-09,25
2007-10,45
2007-11,28
2007-12,17
2008-01,31
2008-02,46
2008-03,15
2008-04,29
2008-05,35
2008-06,22
2008-07,51
2008-08,30
2008-09,56
2008-10,30
2008-11,48
2008-12,56
2009-01,44
2009-02,59
2009-03,50
2009-04,43
2009-05,44
2009-06,50
2009-07,27
2009-08,60
2009-09,49
2009-10,46
2009-11,36
2009-12,31
2010-01,30
2010-02,42
2010-03,70
2010-04,51
2010-05,83
2010-06,61
2010-07,74
2010-08,55
2010-09,51
2010-10,81
2010-11,49
2010-12,48
2011-01,80
2011-02,90
2011-03,59
2011-04,52
2011-05,67
2011-06,69
2011-07,74
2011-08,73
2011-09,54
2011-10,42
2011-11,64
2011-12,61
2012-01,48
2012-02,63
2012-03,58
2012-04,55
2012-05,49
2012-06,68
2012-07,55
2012-08,57
2012-09,51
2012-10,45
2012-11,45
2012-12,52
2013-01,27
2013-02,50
2013-03,43
2013-04,34
2013-05,51
2013-06,40
2013-07,49
2013-08,39
2013-09,46
2013-10,59
2013-11,42
2013-12,44
2014-01,58
2014-02,44
2014-03,64
2014-04,45
2014-05,58
2014-06,58
2014-07,47
2014-08,33
2014-09,50
2014-10,35
2014-11,74
2014-12,59
2015-01,59
2015-02,43
2015-03,62
2015-04,58
2015-05,51
2015-06,68
2015-07,49
2015-08,43
2015-09,59
2015-10,48
2015-11,39
2015-12,63
2016-01,53
2016-02,58
2016-03,44
2016-04,49
2016-05,52
2016-06,46
2016-07,43
2016-08,64
2016-09,56
2016-10,47
2016-11,43
2016-12,45
2017-01,30
2017-02,45
2017-03,72
2017-04,54
2017-05,42
2017-06,59
2017-07,52
2017-08,62
2017-09,41
2017-10,53
2017-11,41
2017-12,45
2018-01,47
2018-02,53
2018-03,55
2018-04,53
2018-05,59
2018-06,49
2018-07,63
2018-08,60
2018-09,38
2018-10,57
2018-11,53
2018-12,42
2019-01,52
2019-02,45
2019-03,68
2019-04,53
2019-05,63
2019-06,56
2019-07,54
2019-08,46
2019-09,64
2019-10,76
2019-11,72
2019-12,33
2020-01,53
2020-02,59
2020-03,48
2020-04,39
2020-05,40
2020-06,71
2020-07,52
2020-08,51
2020-09,47
2020-10,42
2020-11,49
2020-12,52
2021-01,47
2021-02,52
2021-03,57
2021-04,42
2021-05,98
