Category: All categories

Month,ambien: (Oklahoma)
2004-01,0
2004-02,0
2004-03,0
2004-04,66
2004-05,0
2004-06,63
2004-07,63
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,41
2005-04,0
2005-05,0
2005-06,0
2005-07,41
2005-08,39
2005-09,35
2005-10,0
2005-11,100
2005-12,33
2006-01,58
2006-02,29
2006-03,26
2006-04,0
2006-05,79
2006-06,85
2006-07,26
2006-08,0
2006-09,0
2006-10,22
2006-11,42
2006-12,21
2007-01,19
2007-02,20
2007-03,72
2007-04,35
2007-05,17
2007-06,17
2007-07,33
2007-08,46
2007-09,31
2007-10,99
2007-11,28
2007-12,0
2008-01,0
2008-02,27
2008-03,0
2008-04,26
2008-05,0
2008-06,42
2008-07,13
2008-08,26
2008-09,49
2008-10,34
2008-11,25
2008-12,36
2009-01,0
2009-02,49
2009-03,11
2009-04,33
2009-05,47
2009-06,49
2009-07,24
2009-08,35
2009-09,56
2009-10,64
2009-11,11
2009-12,33
2010-01,21
2010-02,53
2010-03,10
2010-04,31
2010-05,45
2010-06,35
2010-07,43
2010-08,61
2010-09,20
2010-10,10
2010-11,20
2010-12,20
2011-01,35
2011-02,42
2011-03,45
2011-04,24
2011-05,17
2011-06,30
2011-07,36
2011-08,37
2011-09,47
2011-10,31
2011-11,49
2011-12,20
2012-01,33
2012-02,33
2012-03,37
2012-04,63
2012-05,29
2012-06,40
2012-07,19
2012-08,35
2012-09,36
2012-10,37
2012-11,39
2012-12,19
2013-01,36
2013-02,55
2013-03,27
2013-04,27
2013-05,46
2013-06,22
2013-07,15
2013-08,29
2013-09,33
2013-10,22
2013-11,33
2013-12,15
2014-01,52
2014-02,45
2014-03,29
2014-04,15
2014-05,34
2014-06,37
2014-07,29
2014-08,36
2014-09,28
2014-10,30
2014-11,25
2014-12,24
2015-01,23
2015-02,38
2015-03,34
2015-04,23
2015-05,20
2015-06,17
2015-07,16
2015-08,23
2015-09,29
2015-10,7
2015-11,11
2015-12,14
2016-01,21
2016-02,24
2016-03,15
2016-04,23
2016-05,26
2016-06,14
2016-07,32
2016-08,24
2016-09,25
2016-10,25
2016-11,20
2016-12,20
2017-01,11
2017-02,15
2017-03,26
2017-04,16
2017-05,14
2017-06,28
2017-07,23
2017-08,28
2017-09,16
2017-10,29
2017-11,24
2017-12,11
2018-01,18
2018-02,22
2018-03,21
2018-04,19
2018-05,28
2018-06,25
2018-07,17
2018-08,29
2018-09,21
2018-10,23
2018-11,15
2018-12,19
2019-01,20
2019-02,26
2019-03,20
2019-04,11
2019-05,8
2019-06,22
2019-07,6
2019-08,12
2019-09,15
2019-10,24
2019-11,13
2019-12,23
2020-01,7
2020-02,17
2020-03,17
2020-04,14
2020-05,18
2020-06,11
2020-07,7
2020-08,14
2020-09,14
2020-10,16
2020-11,17
2020-12,14
2021-01,19
2021-02,10
2021-03,15
2021-04,24
2021-05,14
