Category: All categories

Month,ambien: (Tennessee)
2004-01,33
2004-02,0
2004-03,43
2004-04,96
2004-05,0
2004-06,30
2004-07,30
2004-08,26
2004-09,24
2004-10,51
2004-11,27
2004-12,24
2005-01,0
2005-02,0
2005-03,19
2005-04,0
2005-05,0
2005-06,0
2005-07,20
2005-08,0
2005-09,33
2005-10,32
2005-11,16
2005-12,62
2006-01,40
2006-02,27
2006-03,49
2006-04,13
2006-05,38
2006-06,27
2006-07,100
2006-08,45
2006-09,22
2006-10,42
2006-11,21
2006-12,11
2007-01,37
2007-02,39
2007-03,46
2007-04,54
2007-05,44
2007-06,9
2007-07,60
2007-08,16
2007-09,8
2007-10,7
2007-11,7
2007-12,8
2008-01,21
2008-02,14
2008-03,21
2008-04,20
2008-05,51
2008-06,23
2008-07,29
2008-08,21
2008-09,26
2008-10,12
2008-11,7
2008-12,19
2009-01,6
2009-02,19
2009-03,6
2009-04,23
2009-05,6
2009-06,19
2009-07,6
2009-08,35
2009-09,39
2009-10,44
2009-11,45
2009-12,28
2010-01,36
2010-02,22
2010-03,35
2010-04,37
2010-05,27
2010-06,22
2010-07,32
2010-08,46
2010-09,43
2010-10,15
2010-11,14
2010-12,19
2011-01,20
2011-02,19
2011-03,35
2011-04,20
2011-05,10
2011-06,32
2011-07,29
2011-08,38
2011-09,21
2011-10,23
2011-11,17
2011-12,28
2012-01,25
2012-02,21
2012-03,38
2012-04,28
2012-05,28
2012-06,22
2012-07,28
2012-08,20
2012-09,39
2012-10,38
2012-11,20
2012-12,29
2013-01,26
2013-02,42
2013-03,33
2013-04,26
2013-05,28
2013-06,19
2013-07,24
2013-08,28
2013-09,24
2013-10,29
2013-11,21
2013-12,24
2014-01,27
2014-02,33
2014-03,25
2014-04,27
2014-05,28
2014-06,27
2014-07,25
2014-08,33
2014-09,27
2014-10,17
2014-11,19
2014-12,34
2015-01,29
2015-02,28
2015-03,24
2015-04,16
2015-05,21
2015-06,21
2015-07,17
2015-08,21
2015-09,18
2015-10,14
2015-11,19
2015-12,15
2016-01,25
2016-02,16
2016-03,24
2016-04,27
2016-05,21
2016-06,21
2016-07,18
2016-08,17
2016-09,22
2016-10,20
2016-11,9
2016-12,15
2017-01,27
2017-02,22
2017-03,26
2017-04,18
2017-05,16
2017-06,15
2017-07,20
2017-08,22
2017-09,14
2017-10,18
2017-11,18
2017-12,15
2018-01,23
2018-02,21
2018-03,33
2018-04,20
2018-05,26
2018-06,25
2018-07,18
2018-08,23
2018-09,14
2018-10,22
2018-11,12
2018-12,15
2019-01,21
2019-02,16
2019-03,17
2019-04,19
2019-05,21
2019-06,17
2019-07,17
2019-08,9
2019-09,8
2019-10,21
2019-11,14
2019-12,13
2020-01,20
2020-02,14
2020-03,11
2020-04,17
2020-05,11
2020-06,15
2020-07,16
2020-08,10
2020-09,16
2020-10,14
2020-11,10
2020-12,9
2021-01,19
2021-02,9
2021-03,15
2021-04,11
2021-05,8
