Category: All categories

Month,sonata: (Tennessee)
2004-01,0
2004-02,67
2004-03,0
2004-04,33
2004-05,61
2004-06,0
2004-07,31
2004-08,0
2004-09,51
2004-10,52
2004-11,27
2004-12,0
2005-01,22
2005-02,0
2005-03,100
2005-04,22
2005-05,21
2005-06,0
2005-07,41
2005-08,18
2005-09,17
2005-10,33
2005-11,16
2005-12,48
2006-01,14
2006-02,14
2006-03,51
2006-04,13
2006-05,13
2006-06,14
2006-07,0
2006-08,12
2006-09,11
2006-10,11
2006-11,11
2006-12,22
2007-01,10
2007-02,31
2007-03,0
2007-04,56
2007-05,27
2007-06,9
2007-07,18
2007-08,8
2007-09,16
2007-10,15
2007-11,8
2007-12,40
2008-01,21
2008-02,22
2008-03,43
2008-04,49
2008-05,22
2008-06,8
2008-07,29
2008-08,37
2008-09,41
2008-10,44
2008-11,7
2008-12,20
2009-01,49
2009-02,19
2009-03,41
2009-04,36
2009-05,32
2009-06,26
2009-07,32
2009-08,36
2009-09,23
2009-10,34
2009-11,41
2009-12,29
2010-01,43
2010-02,39
2010-03,31
2010-04,27
2010-05,56
2010-06,46
2010-07,56
2010-08,99
2010-09,15
2010-10,45
2010-11,19
2010-12,44
2011-01,52
2011-02,39
2011-03,38
2011-04,48
2011-05,42
2011-06,62
2011-07,51
2011-08,30
2011-09,44
2011-10,47
2011-11,45
2011-12,31
2012-01,38
2012-02,36
2012-03,57
2012-04,46
2012-05,45
2012-06,35
2012-07,21
2012-08,35
2012-09,41
2012-10,36
2012-11,47
2012-12,24
2013-01,36
2013-02,53
2013-03,48
2013-04,41
2013-05,32
2013-06,32
2013-07,33
2013-08,33
2013-09,36
2013-10,42
2013-11,43
2013-12,45
2014-01,32
2014-02,30
2014-03,43
2014-04,33
2014-05,50
2014-06,46
2014-07,34
2014-08,34
2014-09,43
2014-10,46
2014-11,46
2014-12,49
2015-01,36
2015-02,46
2015-03,53
2015-04,38
2015-05,33
2015-06,37
2015-07,51
2015-08,31
2015-09,41
2015-10,43
2015-11,37
2015-12,47
2016-01,38
2016-02,44
2016-03,51
2016-04,34
2016-05,36
2016-06,50
2016-07,48
2016-08,45
2016-09,41
2016-10,60
2016-11,35
2016-12,40
2017-01,43
2017-02,33
2017-03,64
2017-04,46
2017-05,65
2017-06,43
2017-07,60
2017-08,52
2017-09,41
2017-10,49
2017-11,30
2017-12,45
2018-01,37
2018-02,42
2018-03,50
2018-04,46
2018-05,45
2018-06,46
2018-07,40
2018-08,47
2018-09,42
2018-10,50
2018-11,47
2018-12,49
2019-01,37
2019-02,52
2019-03,41
2019-04,62
2019-05,54
2019-06,47
2019-07,47
2019-08,46
2019-09,54
2019-10,45
2019-11,57
2019-12,52
2020-01,45
2020-02,65
2020-03,42
2020-04,42
2020-05,48
2020-06,57
2020-07,45
2020-08,47
2020-09,44
2020-10,42
2020-11,51
2020-12,43
2021-01,42
2021-02,46
2021-03,53
2021-04,54
2021-05,46
