Category: All categories

Month,sonata: (West Virginia)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,100
2004-06,0
2004-07,0
2004-08,0
2004-09,85
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,63
2005-04,70
2005-05,0
2005-06,0
2005-07,70
2005-08,64
2005-09,59
2005-10,0
2005-11,0
2005-12,52
2006-01,0
2006-02,0
2006-03,0
2006-04,44
2006-05,0
2006-06,48
2006-07,46
2006-08,0
2006-09,0
2006-10,0
2006-11,98
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,40
2007-06,48
2007-07,0
2007-08,40
2007-09,37
2007-10,0
2007-11,0
2007-12,33
2008-01,0
2008-02,29
2008-03,0
2008-04,54
2008-05,0
2008-06,0
2008-07,32
2008-08,0
2008-09,27
2008-10,25
2008-11,85
2008-12,27
2009-01,0
2009-02,0
2009-03,47
2009-04,0
2009-05,0
2009-06,0
2009-07,88
2009-08,57
2009-09,24
2009-10,23
2009-11,24
2009-12,23
2010-01,45
2010-02,0
2010-03,42
2010-04,45
2010-05,75
2010-06,0
2010-07,25
2010-08,51
2010-09,0
2010-10,22
2010-11,70
2010-12,0
2011-01,26
2011-02,26
2011-03,31
2011-04,27
2011-05,46
2011-06,35
2011-07,42
2011-08,23
2011-09,50
2011-10,14
2011-11,14
2011-12,20
2012-01,18
2012-02,6
2012-03,25
2012-04,13
2012-05,13
2012-06,28
2012-07,20
2012-08,18
2012-09,41
2012-10,27
2012-11,35
2012-12,22
2013-01,15
2013-02,16
2013-03,10
2013-04,10
2013-05,16
2013-06,18
2013-07,22
2013-08,42
2013-09,40
2013-10,36
2013-11,20
2013-12,14
2014-01,4
2014-02,14
2014-03,32
2014-04,32
2014-05,43
2014-06,34
2014-07,37
2014-08,31
2014-09,58
2014-10,41
2014-11,25
2014-12,34
2015-01,42
2015-02,29
2015-03,31
2015-04,41
2015-05,44
2015-06,20
2015-07,46
2015-08,5
2015-09,27
2015-10,18
2015-11,18
2015-12,16
2016-01,17
2016-02,31
2016-03,27
2016-04,29
2016-05,22
2016-06,12
2016-07,15
2016-08,33
2016-09,21
2016-10,31
2016-11,10
2016-12,29
2017-01,24
2017-02,39
2017-03,21
2017-04,16
2017-05,40
2017-06,29
2017-07,21
2017-08,23
2017-09,22
2017-10,24
2017-11,27
2017-12,36
2018-01,14
2018-02,24
2018-03,22
2018-04,50
2018-05,18
2018-06,26
2018-07,27
2018-08,39
2018-09,15
2018-10,23
2018-11,21
2018-12,27
2019-01,11
2019-02,15
2019-03,29
2019-04,30
2019-05,31
2019-06,29
2019-07,28
2019-08,23
2019-09,30
2019-10,24
2019-11,27
2019-12,34
2020-01,24
2020-02,30
2020-03,32
2020-04,31
2020-05,18
2020-06,20
2020-07,25
2020-08,20
2020-09,22
2020-10,15
2020-11,22
2020-12,17
2021-01,17
2021-02,24
2021-03,19
2021-04,28
2021-05,37
