Category: All categories

Month,ambien: (United States)
2004-01,65
2004-02,60
2004-03,46
2004-04,74
2004-05,53
2004-06,65
2004-07,52
2004-08,65
2004-09,55
2004-10,50
2004-11,51
2004-12,58
2005-01,56
2005-02,44
2005-03,49
2005-04,75
2005-05,58
2005-06,61
2005-07,53
2005-08,54
2005-09,51
2005-10,73
2005-11,78
2005-12,76
2006-01,67
2006-02,64
2006-03,100
2006-04,69
2006-05,72
2006-06,61
2006-07,62
2006-08,62
2006-09,58
2006-10,69
2006-11,61
2006-12,64
2007-01,69
2007-02,53
2007-03,66
2007-04,62
2007-05,61
2007-06,50
2007-07,61
2007-08,56
2007-09,55
2007-10,53
2007-11,55
2007-12,52
2008-01,74
2008-02,56
2008-03,49
2008-04,52
2008-05,46
2008-06,53
2008-07,56
2008-08,50
2008-09,54
2008-10,48
2008-11,47
2008-12,51
2009-01,54
2009-02,54
2009-03,49
2009-04,59
2009-05,52
2009-06,58
2009-07,59
2009-08,52
2009-09,59
2009-10,58
2009-11,46
2009-12,79
2010-01,59
2010-02,51
2010-03,49
2010-04,57
2010-05,58
2010-06,58
2010-07,59
2010-08,59
2010-09,58
2010-10,53
2010-11,58
2010-12,52
2011-01,67
2011-02,62
2011-03,57
2011-04,64
2011-05,60
2011-06,62
2011-07,65
2011-08,72
2011-09,63
2011-10,64
2011-11,61
2011-12,63
2012-01,63
2012-02,66
2012-03,65
2012-04,61
2012-05,59
2012-06,58
2012-07,63
2012-08,65
2012-09,65
2012-10,61
2012-11,54
2012-12,53
2013-01,70
2013-02,57
2013-03,57
2013-04,54
2013-05,55
2013-06,52
2013-07,56
2013-08,51
2013-09,54
2013-10,50
2013-11,48
2013-12,46
2014-01,50
2014-02,58
2014-03,50
2014-04,53
2014-05,49
2014-06,44
2014-07,49
2014-08,49
2014-09,46
2014-10,41
2014-11,43
2014-12,44
2015-01,48
2015-02,45
2015-03,40
2015-04,46
2015-05,42
2015-06,49
2015-07,43
2015-08,48
2015-09,46
2015-10,44
2015-11,38
2015-12,39
2016-01,45
2016-02,43
2016-03,45
2016-04,45
2016-05,53
2016-06,48
2016-07,43
2016-08,42
2016-09,43
2016-10,43
2016-11,35
2016-12,39
2017-01,43
2017-02,42
2017-03,41
2017-04,39
2017-05,41
2017-06,41
2017-07,43
2017-08,42
2017-09,39
2017-10,38
2017-11,38
2017-12,36
2018-01,42
2018-02,37
2018-03,43
2018-04,38
2018-05,69
2018-06,49
2018-07,40
2018-08,44
2018-09,37
2018-10,41
2018-11,36
2018-12,34
2019-01,38
2019-02,38
2019-03,35
2019-04,33
2019-05,32
2019-06,36
2019-07,37
2019-08,33
2019-09,33
2019-10,35
2019-11,33
2019-12,31
2020-01,34
2020-02,35
2020-03,29
2020-04,29
2020-05,29
2020-06,28
2020-07,30
2020-08,28
2020-09,30
2020-10,29
2020-11,25
2020-12,28
2021-01,31
2021-02,28
2021-03,30
2021-04,29
2021-05,30
