Category: All categories

Month,lunesta: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,17
2005-01,21
2005-02,31
2005-03,18
2005-04,51
2005-05,100
2005-06,68
2005-07,71
2005-08,65
2005-09,61
2005-10,68
2005-11,55
2005-12,45
2006-01,54
2006-02,51
2006-03,50
2006-04,44
2006-05,30
2006-06,30
2006-07,27
2006-08,33
2006-09,48
2006-10,50
2006-11,37
2006-12,24
2007-01,32
2007-02,29
2007-03,36
2007-04,39
2007-05,35
2007-06,33
2007-07,29
2007-08,28
2007-09,37
2007-10,29
2007-11,28
2007-12,19
2008-01,31
2008-02,18
2008-03,24
2008-04,26
2008-05,19
2008-06,19
2008-07,22
2008-08,21
2008-09,20
2008-10,19
2008-11,23
2008-12,17
2009-01,21
2009-02,19
2009-03,17
2009-04,19
2009-05,12
2009-06,16
2009-07,19
2009-08,16
2009-09,15
2009-10,17
2009-11,13
2009-12,24
2010-01,19
2010-02,23
2010-03,16
2010-04,15
2010-05,15
2010-06,16
2010-07,19
2010-08,17
2010-09,22
2010-10,16
2010-11,15
2010-12,19
2011-01,24
2011-02,22
2011-03,19
2011-04,17
2011-05,17
2011-06,16
2011-07,16
2011-08,16
2011-09,17
2011-10,20
2011-11,16
2011-12,20
2012-01,18
2012-02,19
2012-03,20
2012-04,18
2012-05,17
2012-06,17
2012-07,17
2012-08,18
2012-09,16
2012-10,16
2012-11,18
2012-12,16
2013-01,18
2013-02,16
2013-03,17
2013-04,14
2013-05,15
2013-06,13
2013-07,16
2013-08,14
2013-09,14
2013-10,14
2013-11,12
2013-12,12
2014-01,16
2014-02,13
2014-03,14
2014-04,16
2014-05,17
2014-06,11
2014-07,13
2014-08,12
2014-09,12
2014-10,14
2014-11,10
2014-12,11
2015-01,10
2015-02,10
2015-03,11
2015-04,11
2015-05,12
2015-06,9
2015-07,12
2015-08,12
2015-09,13
2015-10,12
2015-11,12
2015-12,10
2016-01,10
2016-02,10
2016-03,9
2016-04,9
2016-05,10
2016-06,11
2016-07,9
2016-08,10
2016-09,11
2016-10,10
2016-11,9
2016-12,9
2017-01,10
2017-02,9
2017-03,9
2017-04,8
2017-05,12
2017-06,10
2017-07,10
2017-08,11
2017-09,10
2017-10,10
2017-11,10
2017-12,10
2018-01,9
2018-02,10
2018-03,10
2018-04,11
2018-05,10
2018-06,10
2018-07,10
2018-08,9
2018-09,11
2018-10,10
2018-11,9
2018-12,10
2019-01,9
2019-02,10
2019-03,10
2019-04,11
2019-05,11
2019-06,9
2019-07,10
2019-08,10
2019-09,10
2019-10,11
2019-11,10
2019-12,9
2020-01,9
2020-02,10
2020-03,8
2020-04,9
2020-05,7
2020-06,9
2020-07,10
2020-08,9
2020-09,9
2020-10,9
2020-11,8
2020-12,9
2021-01,9
2021-02,9
2021-03,12
2021-04,10
2021-05,11
