Category: All categories

Month,restoril: (United States)
2004-01,41
2004-02,54
2004-03,51
2004-04,65
2004-05,59
2004-06,49
2004-07,50
2004-08,79
2004-09,85
2004-10,66
2004-11,80
2004-12,50
2005-01,62
2005-02,28
2005-03,80
2005-04,100
2005-05,72
2005-06,84
2005-07,58
2005-08,54
2005-09,79
2005-10,40
2005-11,48
2005-12,59
2006-01,41
2006-02,36
2006-03,53
2006-04,90
2006-05,47
2006-06,45
2006-07,83
2006-08,20
2006-09,60
2006-10,88
2006-11,45
2006-12,37
2007-01,68
2007-02,65
2007-03,88
2007-04,63
2007-05,71
2007-06,80
2007-07,64
2007-08,89
2007-09,79
2007-10,58
2007-11,25
2007-12,70
2008-01,39
2008-02,84
2008-03,65
2008-04,44
2008-05,78
2008-06,68
2008-07,59
2008-08,55
2008-09,40
2008-10,77
2008-11,56
2008-12,54
2009-01,66
2009-02,59
2009-03,51
2009-04,74
2009-05,43
2009-06,51
2009-07,50
2009-08,58
2009-09,64
2009-10,58
2009-11,51
2009-12,39
2010-01,63
2010-02,51
2010-03,72
2010-04,56
2010-05,54
2010-06,58
2010-07,49
2010-08,54
2010-09,61
2010-10,80
2010-11,78
2010-12,67
2011-01,47
2011-02,66
2011-03,84
2011-04,71
2011-05,68
2011-06,74
2011-07,80
2011-08,66
2011-09,73
2011-10,74
2011-11,76
2011-12,60
2012-01,60
2012-02,79
2012-03,69
2012-04,66
2012-05,67
2012-06,57
2012-07,66
2012-08,70
2012-09,66
2012-10,69
2012-11,67
2012-12,58
2013-01,58
2013-02,67
2013-03,60
2013-04,68
2013-05,69
2013-06,74
2013-07,70
2013-08,65
2013-09,81
2013-10,74
2013-11,65
2013-12,40
2014-01,64
2014-02,64
2014-03,54
2014-04,55
2014-05,60
2014-06,65
2014-07,68
2014-08,67
2014-09,68
2014-10,52
2014-11,51
2014-12,51
2015-01,63
2015-02,60
2015-03,58
2015-04,69
2015-05,46
2015-06,66
2015-07,60
2015-08,75
2015-09,64
2015-10,60
2015-11,52
2015-12,56
2016-01,50
2016-02,59
2016-03,52
2016-04,57
2016-05,44
2016-06,42
2016-07,52
2016-08,41
2016-09,49
2016-10,44
2016-11,47
2016-12,43
2017-01,42
2017-02,47
2017-03,55
2017-04,53
2017-05,50
2017-06,53
2017-07,59
2017-08,54
2017-09,56
2017-10,45
2017-11,42
2017-12,45
2018-01,66
2018-02,55
2018-03,42
2018-04,50
2018-05,45
2018-06,48
2018-07,49
2018-08,41
2018-09,40
2018-10,42
2018-11,39
2018-12,41
2019-01,45
2019-02,52
2019-03,43
2019-04,40
2019-05,39
2019-06,45
2019-07,35
2019-08,43
2019-09,45
2019-10,37
2019-11,38
2019-12,37
2020-01,38
2020-02,45
2020-03,33
2020-04,30
2020-05,33
2020-06,36
2020-07,37
2020-08,39
2020-09,34
2020-10,33
2020-11,31
2020-12,32
2021-01,29
2021-02,29
2021-03,41
2021-04,28
2021-05,37
