Category: All categories

Month,silenor: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,9
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,9
2008-09,0
2008-10,0
2008-11,9
2008-12,0
2009-01,25
2009-02,18
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,16
2009-08,0
2009-09,0
2009-10,0
2009-11,7
2009-12,7
2010-01,0
2010-02,0
2010-03,19
2010-04,7
2010-05,7
2010-06,22
2010-07,43
2010-08,30
2010-09,41
2010-10,78
2010-11,100
2010-12,39
2011-01,58
2011-02,84
2011-03,71
2011-04,40
2011-05,48
2011-06,49
2011-07,95
2011-08,61
2011-09,88
2011-10,54
2011-11,73
2011-12,26
2012-01,34
2012-02,25
2012-03,38
2012-04,45
2012-05,30
2012-06,25
2012-07,17
2012-08,23
2012-09,47
2012-10,27
2012-11,37
2012-12,27
2013-01,36
2013-02,30
2013-03,36
2013-04,25
2013-05,34
2013-06,27
2013-07,29
2013-08,31
2013-09,23
2013-10,30
2013-11,17
2013-12,50
2014-01,29
2014-02,26
2014-03,23
2014-04,32
2014-05,14
2014-06,32
2014-07,34
2014-08,47
2014-09,27
2014-10,40
2014-11,21
2014-12,26
2015-01,48
2015-02,27
2015-03,71
2015-04,59
2015-05,48
2015-06,47
2015-07,40
2015-08,49
2015-09,52
2015-10,70
2015-11,40
2015-12,34
2016-01,39
2016-02,52
2016-03,40
2016-04,44
2016-05,44
2016-06,49
2016-07,39
2016-08,47
2016-09,58
2016-10,36
2016-11,40
2016-12,43
2017-01,41
2017-02,58
2017-03,38
2017-04,32
2017-05,52
2017-06,45
2017-07,53
2017-08,42
2017-09,49
2017-10,45
2017-11,63
2017-12,27
2018-01,39
2018-02,62
2018-03,63
2018-04,48
2018-05,39
2018-06,23
2018-07,47
2018-08,50
2018-09,52
2018-10,41
2018-11,43
2018-12,60
2019-01,57
2019-02,42
2019-03,51
2019-04,54
2019-05,38
2019-06,21
2019-07,35
2019-08,48
2019-09,33
2019-10,50
2019-11,32
2019-12,30
2020-01,54
2020-02,35
2020-03,21
2020-04,18
2020-05,29
2020-06,8
2020-07,25
2020-08,10
2020-09,22
2020-10,13
2020-11,17
2020-12,13
2021-01,17
2021-02,27
2021-03,31
2021-04,18
2021-05,9
