Category: All categories

Month,sonata: (United States)
2004-01,54
2004-02,45
2004-03,65
2004-04,57
2004-05,55
2004-06,51
2004-07,53
2004-08,51
2004-09,61
2004-10,49
2004-11,51
2004-12,57
2005-01,65
2005-02,54
2005-03,58
2005-04,60
2005-05,65
2005-06,54
2005-07,62
2005-08,57
2005-09,58
2005-10,48
2005-11,57
2005-12,56
2006-01,67
2006-02,59
2006-03,60
2006-04,64
2006-05,57
2006-06,55
2006-07,52
2006-08,54
2006-09,48
2006-10,55
2006-11,50
2006-12,56
2007-01,45
2007-02,52
2007-03,46
2007-04,58
2007-05,53
2007-06,47
2007-07,53
2007-08,52
2007-09,62
2007-10,63
2007-11,53
2007-12,57
2008-01,48
2008-02,61
2008-03,61
2008-04,57
2008-05,59
2008-06,55
2008-07,60
2008-08,49
2008-09,52
2008-10,55
2008-11,58
2008-12,60
2009-01,55
2009-02,54
2009-03,61
2009-04,62
2009-05,58
2009-06,56
2009-07,65
2009-08,62
2009-09,67
2009-10,60
2009-11,59
2009-12,65
2010-01,63
2010-02,84
2010-03,91
2010-04,93
2010-05,92
2010-06,75
2010-07,79
2010-08,76
2010-09,79
2010-10,79
2010-11,84
2010-12,77
2011-01,95
2011-02,93
2011-03,99
2011-04,99
2011-05,99
2011-06,96
2011-07,93
2011-08,89
2011-09,83
2011-10,83
2011-11,83
2011-12,76
2012-01,74
2012-02,84
2012-03,82
2012-04,79
2012-05,84
2012-06,78
2012-07,77
2012-08,67
2012-09,69
2012-10,70
2012-11,68
2012-12,68
2013-01,65
2013-02,72
2013-03,73
2013-04,67
2013-05,68
2013-06,69
2013-07,66
2013-08,68
2013-09,67
2013-10,71
2013-11,69
2013-12,69
2014-01,73
2014-02,69
2014-03,73
2014-04,81
2014-05,77
2014-06,83
2014-07,82
2014-08,85
2014-09,81
2014-10,78
2014-11,80
2014-12,72
2015-01,79
2015-02,77
2015-03,82
2015-04,79
2015-05,81
2015-06,79
2015-07,82
2015-08,84
2015-09,81
2015-10,81
2015-11,80
2015-12,83
2016-01,78
2016-02,88
2016-03,88
2016-04,83
2016-05,82
2016-06,84
2016-07,83
2016-08,83
2016-09,81
2016-10,79
2016-11,78
2016-12,82
2017-01,80
2017-02,84
2017-03,85
2017-04,89
2017-05,88
2017-06,85
2017-07,94
2017-08,89
2017-09,78
2017-10,86
2017-11,81
2017-12,81
2018-01,79
2018-02,84
2018-03,87
2018-04,82
2018-05,88
2018-06,84
2018-07,88
2018-08,88
2018-09,80
2018-10,80
2018-11,80
2018-12,78
2019-01,80
2019-02,78
2019-03,88
2019-04,85
2019-05,78
2019-06,82
2019-07,81
2019-08,84
2019-09,81
2019-10,84
2019-11,83
2019-12,79
2020-01,83
2020-02,100
2020-03,73
2020-04,66
2020-05,77
2020-06,85
2020-07,87
2020-08,87
2020-09,80
2020-10,75
2020-11,72
2020-12,73
2021-01,73
2021-02,75
2021-03,89
2021-04,86
2021-05,83
